TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,AgeGroup,FrekuensiTransaksi,JamTransaksi,PenggunaanDevice,IPAddressAccount,Cluster_KMeans,Channel,CustomerOccupation
TX000001,AC00128,31008.876,2023-04-11 16:29:14,Debit,Austin,D000380,177.172.184.163,M015,70,81,1,76053120.24539998,2024-11-04 08:08:08,55+,7,16,6,3,1,ATM,Doctor
TX000002,AC00455,721948.384,2023-06-27 16:44:19,Debit,Houston,D000051,13.149.61.4,M018,68,141,1,204687828.00339997,2024-11-04 08:09:35,55+,7,16,5,4,1,ATM,Doctor
TX000003,AC00019,242331.82650000002,2023-07-10 18:16:08,Debit,Atlanta,D000235,186.135.2.148,M088,19,56,1,16697010.388999997,2024-11-04 08:07:04,18-25,4,18,5,7,3,Online,Student
TX000004,AC00070,354028.085,2023-05-05 16:32:11,Debit,Austin,D000187,134.222.122.238,M091,26,25,1,127479778.91439997,2024-11-04 08:09:06,26-35,8,16,6,8,3,Online,Student
TX000005,AC00411,31008.876,2023-10-16 17:51:24,Credit,Atlanta,D000308,13.149.61.4,M091,26,198,1,110525353.40599997,2024-11-04 08:06:39,26-35,6,17,3,4,2,Online,Student
TX000006,AC00393,176822.2875,2023-04-03 17:15:01,Debit,Charlotte,D000579,13.149.61.4,M018,18,172,1,11628951.3732,2024-11-04 08:06:36,,8,17,4,4,1,ATM,Student
TX000007,AC00199,31008.876,2023-02-15 16:36:48,Credit,Atlanta,D000241,13.149.61.4,M088,37,139,1,198109333.57539997,2024-11-04 08:10:09,36-45,1,16,4,4,5,ATM,Doctor
TX000008,AC00069,328929.527,2023-05-08 17:47:59,Credit,New York,D000500,186.135.2.148,M089,67,291,1,41599036.70759999,2024-11-04 08:10:55,55+,7,17,2,7,4,Branch,Retired
TX000009,AC00135,203839.6955,2023-03-21 16:59:46,Credit,Houston,D000690,81.102.230.41,M089,51,86,1,135306134.29359996,2024-11-04 08:11:14,46-55,2,16,6,5,4,Branch,Engineer
TX000010,AC00385,1565705.1060000004,2023-03-31 16:06:57,Debit,Milwaukee,D000199,32.169.88.41,M007,55,120,1,15202344.321199998,2024-11-04 08:06:32,46-55,7,16,4,6,1,ATM,Doctor
TX000011,AC00150,34117.413,2023-03-14 16:46:10,Credit,Albuquerque,D000205,81.102.230.41,M053,52,59,1,113056184.41479999,2024-11-04 08:06:45,46-55,7,16,3,5,2,Online,Engineer
TX000012,AC00459,364620.13700000005,2023-02-06 17:30:00,Debit,Houston,D000589,13.149.61.4,M030,21,173,1,22743810.129399996,2024-11-04 08:07:12,18-25,7,17,7,4,3,Online,Student
TX000013,AC00392,948909.9620000002,2023-06-07 17:21:28,Credit,Atlanta,D000032,81.102.230.41,M018,24,111,1,24100717.584799998,2024-11-04 08:08:38,18-25,3,17,7,5,4,Branch,Student
TX000014,AC00264,1500080.436,2023-11-20 16:39:15,Debit,Houston,D000054,81.102.230.41,M091,26,123,1,2822070.0605999995,2024-11-04 08:07:06,26-35,6,16,4,5,1,ATM,Student
TX000015,AC00085,320429.02150000003,2023-02-13 16:53:57,Debit,Louisville,D000309,81.102.230.41,M055,18,134,1,4462081.8782,2024-11-04 08:10:09,,6,16,7,5,3,Online,Student
TX000016,AC00270,893128.9925000002,2023-12-12 16:23:31,Debit,Denver,D000466,186.135.2.148,M091,36,129,1,51556038.78959999,2024-11-04 08:12:19,36-45,2,16,4,7,1,ATM,Engineer
TX000017,AC00317,1066497.09,2023-10-30 16:52:49,Credit,Austin,D000671,186.135.2.148,M030,19,158,1,16829562.1424,2024-11-04 08:07:35,18-25,7,16,6,7,4,Branch,Student
TX000018,AC00359,945858.9905000001,2023-12-14 18:32:14,Debit,Columbus,D000432,217.82.46.37,M018,39,234,1,76019796.34779999,2024-11-04 08:11:51,36-45,6,18,4,2,3,Online,Engineer
TX000019,AC00242,35844.378000000004,2023-02-21 16:56:50,Credit,Albuquerque,D000530,13.149.61.4,M018,59,106,1,118245935.16379999,2024-11-04 08:12:01,55+,9,16,5,4,4,Branch,Retired
TX000020,AC00285,137159.65800000002,2023-06-08 18:18:50,Credit,Columbus,D000039,186.135.2.148,M036,18,169,1,97719306.84659998,2024-11-04 08:09:20,,7,18,6,7,2,Online,Student
TX000021,AC00002,113826.44200000001,2023-02-28 16:36:58,Debit,Los Angeles,D000152,81.102.230.41,M030,71,38,1,85554596.54859999,2024-11-04 08:09:24,55+,7,16,1,5,0,Branch,Retired
TX000022,AC00014,164580.0245,2023-08-11 18:31:31,Debit,Milwaukee,D000268,13.149.61.4,M013,38,93,1,136065591.8706,2024-11-04 08:08:13,36-45,9,18,5,4,0,Branch,Doctor
TX000023,AC00095,100164.23000000001,2023-06-06 18:54:15,Debit,Atlanta,D000142,141.241.241.128,M022,39,120,1,133517801.37819998,2024-11-04 08:07:01,36-45,8,18,9,9,3,Online,Engineer
TX000024,AC00453,663615.3439999999,2023-05-02 18:25:46,Debit,Fort Worth,D000162,177.172.184.163,M089,22,142,1,20864729.099999998,2024-11-04 08:07:04,18-25,9,18,5,3,3,Online,Student
TX000025,AC00241,279269.689,2023-03-02 16:43:56,Debit,Austin,D000036,115.196.150.105,M013,21,96,1,28726491.120399997,2024-11-04 08:07:09,18-25,9,16,2,1,3,Online,Student
TX000026,AC00041,31008.876,2023-10-20 17:53:13,Credit,Houston,D000671,186.135.2.148,M053,65,276,1,54072141.825799994,2024-11-04 08:09:44,55+,7,17,6,7,2,Online,Retired
TX000027,AC00441,473821.8905,2023-04-17 16:37:01,Debit,Miami,D000046,81.102.230.41,M036,23,158,1,10017354.128999999,2024-11-04 08:11:38,18-25,6,16,8,5,1,ATM,Student
TX000028,AC00057,77368.292,2023-03-29 16:42:38,Debit,Milwaukee,D000310,13.149.61.4,M034,37,95,1,39966760.7948,2024-11-04 08:11:59,36-45,5,16,7,4,0,Branch,Engineer
TX000029,AC00390,244557.69250000003,2023-01-24 16:18:32,Debit,Milwaukee,D000232,186.135.2.148,M089,44,197,1,26362577.134399995,2024-11-04 08:11:22,36-45,7,16,7,7,3,Online,Doctor
TX000030,AC00313,107782.06450000001,2023-09-20 16:55:42,Debit,Houston,D000297,13.149.61.4,M053,27,283,1,20108841.9406,2024-11-04 08:08:30,26-35,3,16,4,4,0,Branch,Student
TX000031,AC00367,54322.9035,2023-07-17 17:49:22,Credit,Miami,D000587,134.222.122.238,M091,59,20,1,123989844.47779997,2024-11-04 08:09:17,55+,7,17,3,8,2,Online,Doctor
TX000032,AC00291,113442.67199999999,2023-02-06 16:24:24,Debit,Louisville,D000282,81.102.230.41,M053,29,257,1,146143839.38359997,2024-11-04 08:06:58,26-35,7,16,4,5,1,ATM,Doctor
TX000033,AC00060,760728.3425,2023-09-25 16:26:00,Debit,New York,D000621,81.102.230.41,M007,49,168,1,144157943.36099997,2024-11-04 08:11:13,46-55,4,16,5,5,1,ATM,Engineer
TX000034,AC00359,1684385.9785000002,2023-03-13 17:23:24,Debit,Los Angeles,D000111,32.169.88.41,M018,22,150,1,5935920.51,2024-11-04 08:07:50,18-25,6,17,3,6,3,Online,Student
TX000035,AC00365,489805.911,2023-10-27 16:42:49,Credit,San Francisco,D000357,186.135.2.148,M091,45,50,1,220411947.1138,2024-11-04 08:10:51,36-45,5,16,3,7,4,Branch,Doctor
TX000036,AC00267,239395.986,2023-10-16 16:32:56,Debit,Atlanta,D000042,217.82.46.37,M091,49,45,1,85760341.86279999,2024-11-04 08:06:23,46-55,10,16,6,2,0,Branch,Engineer
TX000037,AC00404,149920.0105,2023-11-21 16:58:44,Debit,Milwaukee,D000250,13.149.61.4,M013,26,145,1,13398242.0614,2024-11-04 08:12:18,26-35,4,16,5,4,0,Branch,Student
TX000038,AC00202,1245871.1879999998,2023-03-02 17:53:32,Debit,Austin,D000448,81.102.230.41,M018,75,137,1,72537002.74639998,2024-11-04 08:11:15,55+,12,17,2,5,1,ATM,Retired
